Flood depth,MHHW_2022,EWL1R_2022,EWL2R_2022,EWL10R_2022,NFHL100_2022,CAT1_2022,CAT3_2022,CAT5_2022,MHHW_2040,EWL1R_2040,EWL2R_2040,EWL10R_2040,NFHL100_2040,CAT1_2040,CAT3_2040,CAT5_2040,MHHW_2070,EWL1R_2070,EWL2R_2070,EWL10R_2070,NFHL100_2070,CAT1_2070,CAT3_2070,CAT5_2070,Asset Class
0-1 ft,100.0,100.0,100.0,97.56,51.22,87.8,31.71,4.88,100.0,100.0,97.56,92.68,46.34,78.05,31.71,2.44,97.56,92.68,92.68,85.37,41.46,51.22,31.71,2.44,COMMUNITY AND EMERGENCY FACILITIES
1-3 ft,0.0,0.0,0.0,2.44,2.44,9.76,2.44,7.32,0.0,0.0,2.44,7.32,4.88,12.2,0.0,2.44,2.44,7.32,4.88,7.32,4.88,26.83,0.0,0.0,COMMUNITY AND EMERGENCY FACILITIES
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.66,COMMUNITY AND EMERGENCY FACILITIES
3-6 ft,0.0,0.0,0.0,0.0,26.83,2.44,9.76,19.51,0.0,0.0,0.0,0.0,19.51,9.76,12.2,17.07,0.0,0.0,2.44,7.32,4.88,17.07,2.44,7.32,COMMUNITY AND EMERGENCY FACILITIES
6-9 ft,0.0,0.0,0.0,0.0,12.2,0.0,9.76,0.0,0.0,0.0,0.0,0.0,19.51,0.0,4.88,9.76,0.0,0.0,0.0,0.0,29.27,4.88,9.76,21.95,COMMUNITY AND EMERGENCY FACILITIES
9-18 ft,0.0,0.0,0.0,0.0,7.32,0.0,46.34,19.51,0.0,0.0,0.0,0.0,9.76,0.0,51.22,14.63,0.0,0.0,0.0,0.0,19.51,0.0,56.1,12.2,COMMUNITY AND EMERGENCY FACILITIES
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,COMMUNITY AND EMERGENCY FACILITIES
0-1 ft,100.0,100.0,98.26,78.75,25.44,50.17,10.45,0.7,99.65,93.73,78.75,56.79,21.95,41.11,8.36,0.7,83.62,58.89,54.01,46.69,14.98,29.97,7.32,0.7,CRITICAL INFRASTRUCTURE
1-3 ft,0.0,0.0,1.74,20.91,4.18,20.56,4.88,0.0,0.35,6.27,20.91,34.49,5.57,12.2,4.18,0.0,16.03,34.84,26.13,11.5,7.32,13.24,1.05,0.0,CRITICAL INFRASTRUCTURE
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.13,0.0,0.0,0.0,0.0,0.0,0.0,6.27,63.41,CRITICAL INFRASTRUCTURE
3-6 ft,0.0,0.0,0.0,0.35,13.94,29.27,10.1,5.57,0.0,0.0,0.35,8.71,8.01,43.55,8.01,2.79,0.35,6.27,19.86,41.11,7.32,21.95,5.92,0.0,CRITICAL INFRASTRUCTURE
6-9 ft,0.0,0.0,0.0,0.0,25.78,0.0,7.67,1.74,0.0,0.0,0.0,0.0,15.68,3.14,7.67,4.18,0.0,0.0,0.0,0.7,12.89,34.84,10.1,5.23,CRITICAL INFRASTRUCTURE
9-18 ft,0.0,0.0,0.0,0.0,30.66,0.0,66.9,21.6,0.0,0.0,0.0,0.0,48.78,0.0,71.78,19.16,0.0,0.0,0.0,0.0,57.49,0.0,69.34,15.68,CRITICAL INFRASTRUCTURE
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,CRITICAL INFRASTRUCTURE
0-1 ft,96.0,88.0,84.0,72.0,36.0,48.0,16.0,4.0,88.0,84.0,72.0,68.0,28.0,48.0,16.0,4.0,76.0,68.0,60.0,48.0,28.0,44.0,12.0,4.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
1-3 ft,4.0,12.0,12.0,20.0,4.0,32.0,12.0,0.0,12.0,8.0,20.0,20.0,12.0,16.0,4.0,0.0,16.0,24.0,20.0,24.0,4.0,4.0,4.0,0.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,52.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
3-6 ft,0.0,0.0,4.0,8.0,4.0,12.0,12.0,8.0,0.0,8.0,8.0,12.0,4.0,28.0,8.0,4.0,8.0,8.0,16.0,20.0,8.0,36.0,12.0,0.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
6-9 ft,0.0,0.0,0.0,0.0,28.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,12.0,4.0,0.0,0.0,4.0,8.0,4.0,8.0,12.0,8.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
9-18 ft,0.0,0.0,0.0,0.0,28.0,0.0,52.0,28.0,0.0,0.0,0.0,0.0,36.0,0.0,52.0,28.0,0.0,0.0,0.0,0.0,48.0,8.0,52.0,24.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,NATURAL/CULTURAL/HISTORICAL RESOURCE
0-1 ft,98.92,93.85,90.12,81.09,38.16,57.41,2.22,0.12,96.39,87.52,80.81,69.73,30.23,46.73,1.36,0.08,87.06,71.9,64.88,54.93,24.06,35.78,0.36,0.08,TRANSPORTATION
1-3 ft,0.66,5.45,8.43,12.14,6.93,14.28,3.99,0.0,3.02,9.66,12.38,16.71,8.69,14.36,2.0,0.04,9.84,16.11,16.25,15.1,6.61,12.16,1.04,0.0,TRANSPORTATION
18-27 ft,0.0,0.0,0.0,0.0,0.22,0.0,7.45,64.94,0.0,0.0,0.0,0.0,0.66,0.0,12.84,62.62,0.0,0.0,0.0,0.0,2.2,0.0,25.74,55.65,TRANSPORTATION
3-6 ft,0.42,0.7,1.02,6.25,15.22,20.19,10.76,0.04,0.58,2.36,6.29,12.68,14.1,23.98,8.87,0.02,2.62,11.22,17.17,22.42,13.66,22.06,4.41,0.04,TRANSPORTATION
6-9 ft,0.0,0.0,0.42,0.52,18.01,7.55,10.52,0.68,0.0,0.46,0.52,0.88,17.21,13.68,10.22,0.18,0.48,0.78,1.24,7.01,14.84,21.27,10.66,0.02,TRANSPORTATION
9-18 ft,0.0,0.0,0.0,0.0,21.45,0.56,65.06,23.08,0.0,0.0,0.0,0.0,29.11,1.24,64.7,18.55,0.0,0.0,0.46,0.54,38.62,8.73,57.79,11.72,TRANSPORTATION
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49,TRANSPORTATION
0-1 ft,94.39,89.72,87.85,81.31,11.21,49.53,4.67,0.0,89.72,85.98,81.31,63.55,6.54,32.71,2.8,0.0,83.18,69.16,55.14,40.19,3.74,22.43,0.93,0.0,TOURISM/ECONOMY
1-3 ft,5.61,8.41,5.61,8.41,12.15,28.97,0.0,0.0,8.41,5.61,8.41,22.43,8.41,28.04,1.87,0.0,6.54,16.82,26.17,28.04,3.74,10.28,2.8,0.0,TOURISM/ECONOMY
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,1.87,71.96,0.0,0.0,0.0,0.0,0.0,0.0,8.41,71.03,0.0,0.0,0.0,0.0,1.87,0.0,14.02,72.9,TOURISM/ECONOMY
3-6 ft,0.0,1.87,6.54,10.28,18.69,11.21,9.35,0.93,1.87,8.41,10.28,11.21,14.02,26.17,4.67,0.0,10.28,11.21,12.15,20.56,14.95,41.12,0.93,0.0,TOURISM/ECONOMY
6-9 ft,0.0,0.0,0.0,0.0,33.64,10.28,8.41,0.93,0.0,0.0,0.0,2.8,33.64,12.15,11.21,0.93,0.0,2.8,6.54,11.21,18.69,15.89,8.41,0.93,TOURISM/ECONOMY
9-18 ft,0.0,0.0,0.0,0.0,24.3,0.0,75.7,19.63,0.0,0.0,0.0,0.0,37.38,0.93,71.03,17.76,0.0,0.0,0.0,0.0,57.01,10.28,72.9,11.21,TOURISM/ECONOMY
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95,TOURISM/ECONOMY
0-1 ft,99.74,99.48,98.89,97.52,48.89,87.55,19.23,1.17,99.48,98.7,97.52,92.18,41.59,78.49,14.6,0.85,97.78,93.29,90.61,84.35,35.01,59.52,9.71,0.65,HOUSING
1-3 ft,0.26,0.46,0.78,1.89,13.49,8.21,7.5,1.24,0.46,0.98,1.89,6.45,11.08,11.99,6.71,0.65,1.76,5.41,6.98,8.54,7.3,19.82,5.41,0.2,HOUSING
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.07,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.33,55.08,0.0,0.0,0.0,0.0,0.26,0.0,1.3,62.19,HOUSING
3-6 ft,0.0,0.07,0.33,0.59,20.21,3.91,14.93,3.52,0.07,0.33,0.59,1.17,22.23,8.41,14.8,2.61,0.46,1.11,2.09,6.26,18.77,15.58,10.56,1.3,HOUSING
6-9 ft,0.0,0.0,0.0,0.0,11.41,0.33,17.01,7.89,0.0,0.0,0.0,0.2,14.8,1.04,13.56,6.26,0.0,0.2,0.33,0.85,20.8,4.76,15.19,3.59,HOUSING
9-18 ft,0.0,0.0,0.0,0.0,6.0,0.0,41.26,37.22,0.0,0.0,0.0,0.0,10.3,0.07,50.0,34.09,0.0,0.0,0.0,0.0,17.86,0.33,57.82,29.99,HOUSING
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,HOUSING
